,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_percent
533,Batagay-Alyta,1578240903,67.8,130.41,243.95,243.95,243.95,80,1.88,95
534,Ola,1578240903,59.58,151.3,261.82,261.82,261.82,66,2.89,42
535,Karachi,1578240794,24.87,67.03,293.15,293.15,293.15,77,2.77,0
536,Altoona,1578240649,40.52,-78.39,272.42,270.37,274.26,68,8.2,90
537,Codrington,1578240903,-28.95,153.24,293.79,292.15,296.15,88,1.13,1
538,Taksimo,1578240903,56.36,114.84,251.83,251.83,251.83,94,0.15,96
539,Piacabucu,1578240904,-10.41,-36.43,302.3,302.3,302.3,65,4.99,100
540,Skowhegan,1578240904,44.77,-69.72,272.05,270.37,273.15,86,4.1,90
541,Mahibadhoo,1578240781,3.78,72.97,301.17,301.17,301.17,80,5.47,52
542,Payson,1578240904,40.04,-111.73,271.14,267.04,273.15,85,2.51,75
543,Kidal,1578240904,18.44,1.41,296.16,296.16,296.16,13,4.41,0
544,Surab,1578240904,28.49,66.26,280.4,280.4,280.4,97,3.41,100
545,Puerto Ayacucho,1578240904,5.66,-67.63,303.15,303.15,303.15,58,7.2,0
546,Nanakuli,1578240905,21.39,-158.15,295.84,294.15,297.15,94,1.5,20
547,Cuenca,1578240905,-2.9,-79.0,293.15,293.15,293.15,56,2.6,75
548,Muramatsu,1578240905,37.68,139.18,275.07,274.26,275.93,88,1.22,96
549,Pervomayskoye,1578240906,57.07,86.23,268.91,268.91,268.91,95,3.32,100
550,Wembley,1578240906,55.15,-119.14,256.15,256.15,256.15,84,2.1,75
551,Traverse City,1578240698,44.76,-85.62,272.11,270.37,273.15,79,5.1,90
552,Misratah,1578240906,32.38,15.09,289.25,289.25,289.25,72,12.5,90
553,Ankazoabo,1578240906,-22.29,44.51,297.38,297.38,297.38,75,2.5,83
554,San Vicente,1578240907,-0.59,-80.41,299.15,299.15,299.15,78,1.0,75
555,Archidona,1578240907,-0.91,-77.81,301.15,301.15,301.15,69,1.0,20
556,Merauke,1578240907,-8.49,140.4,298.24,298.24,298.24,95,2.46,100
557,Belaya Gora,1578240907,68.54,146.19,243.42,243.42,243.42,90,0.51,46
558,Hay River,1578240907,60.82,-115.79,246.15,246.15,246.15,75,4.1,20
559,Abancay,1578240908,-13.64,-72.88,290.65,290.65,290.65,56,0.24,10
560,San Borja,1578240908,-14.86,-66.75,302.39,302.39,302.39,73,1.43,100
561,Cabatuan,1578240908,16.95,121.67,294.11,294.11,294.11,87,0.99,100
